Event	ID	Name			Wwise Object Path	Notes
	4292516	PlayerWalkConcrete			\Simons\sfx\Player_HENRIKS\MovementFoleyPlayer1\Concrete\PlayerWalkConcrete	
	7691066	ImplantKineticChargeHitEnemy			\Simons\sfx\Player_HENRIKS\Implants\ImplantKineticChargeHitEnemy	
	12074462	rundown_threat_icon_2_not_clear			\Simons\sfx\main_menu\rundown_threat_icon_2_not_clear	
	13893839	disinfection_spray_on_visor_stop			\Simons\sfx\player\visor\disinfection_spray_on_visor_stop	
	15378500	Play_06_main_menu_launch			\Simons\sfx\intro_sequence\Play_06_main_menu_launch	
	16370078	MapperFlashWithPitch			\Simons\sfx\mapper\MapperFlashWithPitch	
	17716328	elevator_swish			\Simons\sfx\elevator\elevator_swish	
	19632968	Play_06ALT_631123_01_v_AM_Schaeffer_introduces_himself			\Simons\sfx\log_recs\R6_Alt\Play_06ALT_631123_01_v_AM_Schaeffer_introduces_himself	
	25377653	elevator_brake_loop_start			\Simons\sfx\elevator\elevator_brake_loop_start	
	27963281	elevator_deployment_move			\Simons\sfx\elevator\elevator_deployment_move	
	29835138	door_hit_weak_glued			\Simons\sfx\doors\door_hit_weak_glued	
	30339160	SwingGeneric			\Simons\sfx\Player_HENRIKS\Melee\SwingGeneric	
	32061594	PlayerWalkWood_3rd			\Simons\sfx\Player_HENRIKS\MovementFoleyPlayer_3rd\Wood\PlayerWalkWood_3rd	
	34276746	EnemyStabHit			\Simons\sfx\enemies_henriks\_OLD\GenericOLD\EnemyStabHit	
	35110410	StaticTentacleSwayingEnd			\Simons\sfx\enemies_henriks\StaticTentacle\OLD\StaticTentacleSwayingEnd	
	36402231	Play_striker_alt_idle			\Simons\sfx\enemies\striker_alt\Play_striker_alt_idle	
	40916708	decon_system			\Simons\sfx\decontamination_unit\decon_system	
	42633153	apex_puzzle_stop_alarm			\Simons\sfx\apex_puzzle\apex_puzzle_stop_alarm	
	45035280	carbine_mag_bump			\Simons\sfx\weapons\reload_1st\carbine_mag_bump	
	47658560	Play_5ALT_331117_01_v_Bishop			\Simons\sfx\log_recs\R5_Alt\Play_5ALT_331117_01_v_Bishop	
	51709829	visor_stickslip_loop_stop			\Simons\sfx\player\visor\visor_stickslip_loop_stop	
	55898397	dumb_waiter_open			\Simons\sfx\emitters\dumb_waiter_open	
	56359871	log_USE_ASR_013			\Simons\sfx\log_recs\R6\log_USE_ASR_013	
	60252044	melee_knife_hit_dirt_regular			\Simons\sfx\melee\knife\melee_knife_hit_dirt_regular	
	63309998	menu_inject_press_and_hold			\Simons\sfx\main_menu\menu_inject_press_and_hold	
	64620369	interact_tool_finished			\Simons\sfx\gui\interact_tool_finished	
	65377783	fluorescent_light_constant			\Simons\sfx\emitters\fluorescent_light_constant	
	66266679	ImplantShieldDeployChargeUp			\Simons\sfx\Player_HENRIKS\Implants\ImplantShieldDeployChargeUp	
	66590664	infection_purged			\Simons\sfx\gui\infection_purged	
	77032734	tank_footstep_walk			\Simons\sfx\enemies\tank\tank_footstep_walk	
	77812757	StrikerDetectScream			\Simons\sfx\enemies\striker\henriks_old_-_some_still_in_use\StrikerDetectScream	
	81729780	torch_cut_loop_start			\Simons\sfx\torch\torch_cut_loop_start	
	83191786	Play_reactor_cooling_tank_flooding			\Simons\sfx\r8\Play_reactor_cooling_tank_flooding	
	85864248	melee_spear_hit_stone_regular			\Simons\sfx\melee\spear\melee_spear_hit_stone_regular	
	90253167	ShooterNearLoop			\Simons\sfx\enemies_henriks\Shooter\ShooterNearLoop	
	91616191	Play_10_hsu_tilt_start			\Simons\sfx\intro_sequence\Play_10_hsu_tilt_start	
	92646945	ShooterMediumProjectileLoop			\Simons\sfx\enemies_henriks\Shooter\ShooterMediumProjectileLoop	
	94008955	disinfection_machine_spray_loop			\Simons\sfx\disinfection_machine\disinfection_machine_spray_loop	
	95101972	ReviveCancel			\Simons\sfx\Player_HENRIKS\Revive\ReviveCancel	
	97082523	PlayerJumpMetal_3rd			\Simons\sfx\Player_HENRIKS\MovementFoleyPlayer_3rd\Metal\PlayerJumpMetal_3rd	
	97740585	immortal_footstep_run			\Simons\sfx\enemies\immortal\immortal_footstep_run	
	98827855	melee_knife_shove			\Simons\sfx\melee\knife\melee_knife_shove	
	101365400	ambience_loop_desert_calm			\Simons\sfx\ambience\ambience_loop_desert_calm	
	104566516	door_m_stuck			\Simons\sfx\doors\door_m_stuck	
	107171421	StaticTentacleDeath			\Simons\sfx\enemies_henriks\StaticTentacle\StaticTentacleDeath	
	108628304	jordy_session_clip_loop			\Simons\sfx\log_recs\R4\jordy_session_clip_loop	
	111212093	commodity_acquired_value_1			\Simons\sfx\gui\commodity_acquired_value_1	
	111212094	commodity_acquired_value_2			\Simons\sfx\gui\commodity_acquired_value_2	
	111212095	commodity_acquired_value_3			\Simons\sfx\gui\commodity_acquired_value_3	
	114737701	StaticTentacleAttackMiss			\Simons\sfx\enemies_henriks\StaticTentacle\StaticTentacleAttackMiss	
	115237650	decon_unit_emitter			\Simons\sfx\decontamination_unit\decon_unit_emitter	
	119020559	Play_06B_631122_01_V			\Simons\sfx\log_recs\R65\Play_06B_631122_01_V	
	125945490	flyer_big_hover_loop			\Simons\sfx\enemies\flyer_big\flyer_big_hover_loop	
	128013070	melee_knife_hit_lock_small_regular			\Simons\sfx\melee\knife\melee_knife_hit_lock_small_regular	
	132204896	log_DT_E257_014			\Simons\sfx\log_recs\R6\log_DT_E257_014	
	132911547	hacking_puzzle_sweep_right			\Simons\sfx\hacking_puzzle\hacking_puzzle_sweep_right	
	135385653	elevator_release			\Simons\sfx\elevator\elevator_release	
	143296386	Play_05ALT_561125_01_v_Dauda			\Simons\sfx\log_recs\R5_Alt\Play_05ALT_561125_01_v_Dauda	
	144856966	melee_bat_hit_stone_regular			\Simons\sfx\melee\bat\melee_bat_hit_stone_regular	
	146058656	PlayerSneakSand			\Simons\sfx\Player_HENRIKS\MovementFoleyPlayer1\Sand\PlayerSneakSand	
	149694421	supply_box_open			\Simons\sfx\lockers_and_boxes\supply_box_open	
	154279724	Play_13_hsu_load_arm_extend			\Simons\sfx\intro_sequence\Play_13_hsu_load_arm_extend	
	156467083	shotgun_reload_2_cock_3rd			\Simons\sfx\weapons\reload_3rd\shotgun_reload_2_cock_3rd	
	169437199	ImmortalInvestigate			\Simons\sfx\enemies\big_enemy_permutations\ImmortalInvestigate	
